id,date,6h,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge,back-door,total-events,unique-locations,active-location-ratio,private-to-public-ratio,location-entropy,location-dominance-ratio,back-and-forth-count,num-transitions
d93d8,2019-05-08,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
d93d8,2019-05-08,06-12,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
d93d8,2019-05-08,12-18,10,19,10,33,42,53,25,0,192,7,0.88,0.24,2.59,0.28,27,139
d93d8,2019-05-08,18-24,8,6,0,28,30,30,42,0,144,6,0.75,0.14,2.34,0.29,16,96
d93d8,2019-05-09,00-06,11,44,0,14,24,16,16,0,125,6,0.75,0.98,2.41,0.35,6,68
d93d8,2019-05-09,06-12,30,33,4,20,50,39,27,0,203,7,0.88,0.54,2.62,0.25,26,158
d93d8,2019-05-09,12-18,11,7,8,39,35,37,21,0,158,7,0.88,0.19,2.54,0.25,18,117
d93d8,2019-05-09,18-24,8,9,0,46,45,32,59,0,199,6,0.75,0.12,2.31,0.3,16,137
d93d8,2019-05-10,00-06,6,47,0,8,12,7,9,0,89,6,0.75,1.89,2.07,0.53,8,42
d93d8,2019-05-10,06-12,24,30,4,22,35,25,10,0,150,7,0.88,0.77,2.61,0.23,11,110
d93d8,2019-05-10,12-18,7,9,4,20,40,43,40,0,163,7,0.88,0.13,2.43,0.26,21,116
d93d8,2019-05-10,18-24,10,21,4,26,48,40,34,0,183,7,0.88,0.25,2.55,0.26,16,139
d93d8,2019-05-11,00-06,12,36,0,6,22,11,10,0,97,6,0.75,1.12,2.33,0.37,5,54
d93d8,2019-05-11,06-12,12,14,0,36,28,40,17,0,147,6,0.75,0.31,2.44,0.27,15,106
d93d8,2019-05-11,12-18,14,14,6,37,47,47,53,0,218,7,0.88,0.19,2.54,0.24,30,148
d93d8,2019-05-11,18-24,8,3,0,27,33,32,36,0,139,6,0.75,0.11,2.3,0.26,15,98
d93d8,2019-05-12,00-06,7,33,0,12,16,15,12,0,95,6,0.75,0.93,2.41,0.35,3,48
d93d8,2019-05-12,06-12,17,28,0,22,25,54,12,0,158,6,0.75,0.49,2.42,0.34,9,89
d93d8,2019-05-12,12-18,16,5,0,24,37,47,30,0,159,6,0.75,0.18,2.37,0.3,16,114
d93d8,2019-05-12,18-24,7,4,0,20,32,28,45,0,136,6,0.75,0.1,2.27,0.33,12,100
d93d8,2019-05-13,00-06,8,32,0,4,16,8,15,0,83,6,0.75,1.03,2.3,0.39,2,48
d93d8,2019-05-13,06-12,21,29,4,24,39,40,24,0,181,7,0.88,0.49,2.64,0.22,25,133
d93d8,2019-05-13,12-18,9,15,2,49,57,49,52,0,233,7,0.88,0.15,2.42,0.24,36,178
d93d8,2019-05-13,18-24,10,10,4,39,43,45,53,0,204,7,0.88,0.14,2.45,0.26,19,137
d93d8,2019-05-14,00-06,9,36,0,14,24,14,14,0,111,6,0.75,0.87,2.43,0.32,8,67
d93d8,2019-05-14,06-12,33,27,4,33,57,44,34,0,232,7,0.88,0.44,2.62,0.25,25,178
d93d8,2019-05-14,12-18,21,10,0,53,46,45,43,0,218,6,0.75,0.23,2.43,0.24,21,148
d93d8,2019-05-14,18-24,6,4,0,20,22,24,34,0,110,6,0.75,0.12,2.32,0.31,6,68
d93d8,2019-05-15,00-06,10,41,0,10,19,13,9,0,102,6,0.75,1.24,2.32,0.4,12,60
d93d8,2019-05-15,06-12,32,44,10,42,57,48,21,0,254,7,0.88,0.6,2.66,0.22,35,184
d93d8,2019-05-15,12-18,5,23,4,22,36,25,32,0,147,7,0.88,0.3,2.55,0.24,11,115
d93d8,2019-05-15,18-24,9,18,6,26,38,29,40,0,166,7,0.88,0.25,2.59,0.24,20,127
d93d8,2019-05-16,00-06,7,60,0,15,21,23,6,0,132,6,0.75,1.34,2.16,0.45,6,64
d93d8,2019-05-16,06-12,20,44,6,11,36,27,17,0,161,7,0.88,0.8,2.58,0.27,28,120
d93d8,2019-05-16,12-18,11,22,4,14,43,24,41,0,159,7,0.88,0.31,2.53,0.27,17,119
d93d8,2019-05-16,18-24,8,6,4,38,35,42,42,0,175,7,0.88,0.12,2.43,0.24,16,118
d93d8,2019-05-17,00-06,9,38,0,14,18,11,7,0,97,6,0.75,1.31,2.33,0.39,8,54
d93d8,2019-05-17,06-12,15,30,8,12,30,20,7,0,122,7,0.88,0.79,2.62,0.25,15,84
d93d8,2019-05-17,12-18,15,20,2,26,40,26,32,0,161,7,0.88,0.36,2.58,0.25,26,125
d93d8,2019-05-17,18-24,9,15,6,8,36,19,30,0,123,7,0.88,0.28,2.55,0.29,17,92
d93d8,2019-05-18,00-06,6,47,0,12,16,15,4,0,100,6,0.75,1.51,2.14,0.47,5,47
d93d8,2019-05-18,06-12,15,25,5,2,27,10,9,0,93,7,0.88,0.87,2.47,0.29,17,70
d93d8,2019-05-18,12-18,23,39,12,52,80,49,101,0,356,7,0.88,0.27,2.57,0.28,38,271
d93d8,2019-05-18,18-24,8,13,4,18,33,34,32,0,142,7,0.88,0.21,2.54,0.24,10,102
d93d8,2019-05-19,00-06,5,37,0,12,12,10,3,0,79,6,0.75,1.68,2.15,0.47,5,41
d93d8,2019-05-19,06-12,9,21,0,14,23,34,12,0,113,6,0.75,0.43,2.45,0.3,17,74
d93d8,2019-05-19,12-18,14,5,0,44,47,49,35,0,194,6,0.75,0.15,2.34,0.25,28,147
d93d8,2019-05-19,18-24,8,4,0,18,23,29,33,0,115,6,0.75,0.14,2.34,0.29,8,73
d93d8,2019-05-20,00-06,7,58,0,12,19,10,9,0,115,6,0.75,1.71,2.11,0.5,7,55
d93d8,2019-05-20,06-12,18,27,4,16,38,27,22,0,152,7,0.88,0.52,2.63,0.25,29,115
d93d8,2019-05-20,12-18,14,13,8,62,49,70,56,0,272,7,0.88,0.15,2.48,0.26,25,182
d93d8,2019-05-20,18-24,7,10,0,22,32,21,38,0,130,6,0.75,0.19,2.39,0.29,16,86
d93d8,2019-05-21,00-06,11,49,0,20,17,16,5,0,118,6,0.75,1.58,2.27,0.42,4,60
d93d8,2019-05-21,06-12,14,22,4,32,41,29,35,0,177,7,0.88,0.34,2.61,0.23,21,127
d93d8,2019-05-21,12-18,24,21,4,36,70,41,70,0,266,7,0.88,0.25,2.51,0.26,39,211
d93d8,2019-05-21,18-24,10,10,2,36,35,29,35,0,157,7,0.88,0.2,2.49,0.23,25,117
d93d8,2019-05-22,00-06,9,57,0,8,21,10,16,0,121,6,0.75,1.4,2.17,0.47,5,58
d93d8,2019-05-22,06-12,28,35,11,60,72,54,62,0,322,7,0.88,0.34,2.65,0.22,42,249
d93d8,2019-05-22,12-18,7,9,4,32,57,68,31,0,208,7,0.88,0.1,2.33,0.33,30,149
d93d8,2019-05-22,18-24,8,5,0,12,25,22,37,0,109,6,0.75,0.15,2.31,0.34,8,77
d93d8,2019-05-23,00-06,6,54,0,8,17,8,6,0,99,6,0.75,1.94,1.99,0.55,3,43
d93d8,2019-05-23,06-12,22,35,4,24,44,29,21,0,179,7,0.88,0.61,2.63,0.25,20,132
d93d8,2019-05-23,12-18,12,21,6,12,35,22,22,0,130,7,0.88,0.42,2.64,0.27,15,110
d93d8,2019-05-23,18-24,5,5,4,8,14,5,26,0,67,7,0.88,0.22,2.45,0.39,6,44
d93d8,2019-05-24,00-06,6,66,0,16,18,31,4,0,141,6,0.75,1.36,2.07,0.47,12,67
d93d8,2019-05-24,06-12,27,45,4,22,41,28,13,0,180,7,0.88,0.88,2.58,0.25,18,129
d93d8,2019-05-24,12-18,0,5,2,24,16,19,10,0,76,6,0.75,0.11,2.28,0.32,13,57
d93d8,2019-05-24,18-24,7,13,0,15,39,23,55,0,152,6,0.75,0.17,2.28,0.36,18,112
d93d8,2019-05-25,00-06,11,47,0,5,17,10,3,0,93,6,0.75,1.93,2.04,0.51,6,50
d93d8,2019-05-25,06-12,38,36,0,14,60,45,25,0,218,6,0.75,0.57,2.46,0.28,28,177
d93d8,2019-05-25,12-18,4,11,9,0,8,2,9,0,43,6,0.75,0.79,2.42,0.26,10,30
d93d8,2019-05-25,18-24,8,26,0,12,31,25,34,0,136,6,0.75,0.38,2.44,0.25,13,97
d93d8,2019-05-26,00-06,5,37,0,20,12,17,7,0,98,6,0.75,1.17,2.3,0.38,3,47
d93d8,2019-05-26,06-12,1,6,0,0,6,8,3,0,24,5,0.62,0.41,2.09,0.33,7,24
d93d8,2019-05-26,12-18,16,24,14,14,66,57,55,0,246,7,0.88,0.22,2.54,0.27,37,201
d93d8,2019-05-26,18-24,11,4,0,16,38,33,41,0,143,6,0.75,0.13,2.3,0.29,21,111
d93d8,2019-05-27,00-06,5,39,0,8,19,15,17,0,103,6,0.75,0.86,2.31,0.38,9,68
d93d8,2019-05-27,06-12,21,41,6,16,49,50,22,0,205,7,0.88,0.51,2.57,0.24,37,150
d93d8,2019-05-27,12-18,2,4,2,18,11,13,12,0,62,7,0.88,0.17,2.47,0.29,4,47
d93d8,2019-05-27,18-24,5,10,0,34,28,23,31,0,131,6,0.75,0.18,2.38,0.26,12,90
d93d8,2019-05-28,00-06,4,32,0,12,20,15,8,0,91,6,0.75,0.84,2.33,0.35,10,55
d93d8,2019-05-28,06-12,16,24,6,28,52,44,28,0,198,7,0.88,0.32,2.6,0.26,31,145
d93d8,2019-05-28,12-18,11,38,6,20,48,30,40,0,193,7,0.88,0.42,2.58,0.25,21,146
d93d8,2019-05-28,18-24,3,11,2,4,15,9,25,0,69,7,0.88,0.29,2.4,0.36,11,51
d93d8,2019-05-29,00-06,6,52,0,16,15,11,7,0,107,6,0.75,1.76,2.14,0.49,3,49
d93d8,2019-05-29,06-12,27,26,4,16,49,22,26,0,170,7,0.88,0.55,2.6,0.29,23,125
d93d8,2019-05-29,12-18,14,18,8,30,52,44,53,0,219,7,0.88,0.21,2.57,0.24,22,178
d93d8,2019-05-29,18-24,8,2,0,20,23,28,34,0,115,6,0.75,0.12,2.29,0.3,7,79
d93d8,2019-05-30,00-06,9,58,0,14,18,13,12,0,124,6,0.75,1.56,2.21,0.47,11,61
d93d8,2019-05-30,06-12,25,51,10,24,49,25,31,0,215,7,0.88,0.72,2.66,0.24,26,161
d93d8,2019-05-30,12-18,5,21,4,22,30,36,13,0,131,7,0.88,0.33,2.52,0.27,27,105
d93d8,2019-05-30,18-24,8,9,0,22,31,29,28,0,127,6,0.75,0.19,2.42,0.24,15,97
d93d8,2019-05-31,00-06,5,47,0,16,18,15,13,0,114,6,0.75,1.13,2.29,0.41,5,52
d93d8,2019-05-31,06-12,16,39,4,18,32,28,16,0,153,7,0.88,0.72,2.61,0.25,18,115
d93d8,2019-05-31,12-18,4,11,14,24,37,38,33,0,161,7,0.88,0.14,2.56,0.24,21,113
d93d8,2019-05-31,18-24,8,9,0,30,31,28,44,0,150,6,0.75,0.17,2.37,0.29,17,104
d93d8,2019-06-01,00-06,8,50,0,18,25,23,13,0,137,6,0.75,0.95,2.36,0.36,15,84
d93d8,2019-06-01,06-12,13,32,0,8,21,20,8,0,102,6,0.75,0.92,2.41,0.31,16,79
d93d8,2019-06-01,12-18,11,13,0,32,48,38,42,0,184,6,0.75,0.19,2.41,0.26,19,134
d93d8,2019-06-01,18-24,3,5,0,28,22,22,35,0,115,6,0.75,0.1,2.27,0.3,14,71
d93d8,2019-06-02,00-06,7,33,0,12,22,10,18,0,102,6,0.75,0.8,2.4,0.32,8,63
d93d8,2019-06-02,06-12,14,67,6,28,37,34,19,0,205,7,0.88,0.9,2.53,0.33,21,127
d93d8,2019-06-02,12-18,7,6,0,36,17,26,17,0,109,6,0.75,0.22,2.34,0.33,6,64
d93d8,2019-06-02,18-24,6,9,2,34,37,33,54,0,175,7,0.88,0.12,2.37,0.31,17,128
d93d8,2019-06-03,00-06,9,36,0,8,21,15,12,0,101,6,0.75,0.94,2.38,0.36,9,61
d93d8,2019-06-03,06-12,19,31,4,24,40,22,15,0,155,7,0.88,0.65,2.62,0.26,24,116
d93d8,2019-06-03,12-18,5,9,2,14,17,13,14,0,74,7,0.88,0.32,2.61,0.23,8,57
d93d8,2019-06-03,18-24,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
d93d8,2019-06-04,00-06,6,39,0,0,10,1,1,0,57,5,0.62,3.75,1.36,0.68,2,21
d93d8,2019-06-04,06-12,17,20,2,36,47,38,44,0,204,7,0.88,0.29,2.55,0.23,23,152
d93d8,2019-06-04,12-18,16,31,4,28,49,38,45,0,211,7,0.88,0.36,2.59,0.23,25,168
d93d8,2019-06-04,18-24,8,4,0,19,27,33,33,0,124,6,0.75,0.13,2.32,0.27,6,78
d93d8,2019-06-05,00-06,6,33,0,14,23,20,18,0,114,6,0.75,0.64,2.44,0.29,6,70
d93d8,2019-06-05,06-12,25,43,2,16,55,49,35,0,225,7,0.88,0.49,2.53,0.24,25,146
d93d8,2019-06-05,12-18,9,6,6,30,41,37,50,0,179,7,0.88,0.12,2.45,0.28,22,123
d93d8,2019-06-05,18-24,10,17,8,32,43,27,39,0,176,7,0.88,0.25,2.6,0.24,13,126
d93d8,2019-06-06,00-06,6,44,0,10,16,14,18,0,108,6,0.75,1.04,2.3,0.41,7,56
d93d8,2019-06-06,06-12,16,24,6,32,30,28,13,0,149,7,0.88,0.56,2.66,0.21,17,102
d93d8,2019-06-06,12-18,8,17,6,15,29,21,22,0,118,7,0.88,0.35,2.66,0.25,12,91
d93d8,2019-06-06,18-24,6,5,0,33,34,33,43,0,154,6,0.75,0.1,2.29,0.28,11,107
d93d8,2019-06-07,00-06,10,44,0,20,21,21,8,0,124,6,0.75,1.08,2.37,0.35,14,68
d93d8,2019-06-07,06-12,12,38,6,12,25,18,8,0,119,7,0.88,0.98,2.56,0.32,13,83
d93d8,2019-06-07,12-18,30,17,6,48,46,45,34,0,226,7,0.88,0.38,2.62,0.21,28,178
d93d8,2019-06-07,18-24,5,9,0,22,25,32,44,0,137,6,0.75,0.14,2.32,0.32,20,97
d93d8,2019-06-08,00-06,7,45,0,10,18,11,7,0,98,6,0.75,1.44,2.2,0.46,4,50
d93d8,2019-06-08,06-12,7,48,0,30,37,32,29,0,183,6,0.75,0.56,2.44,0.26,17,130
d93d8,2019-06-08,12-18,8,18,6,24,41,45,32,0,174,7,0.88,0.22,2.55,0.26,24,127
d93d8,2019-06-08,18-24,5,3,0,10,25,34,30,0,107,6,0.75,0.09,2.2,0.32,10,75
d93d8,2019-06-09,00-06,7,28,0,14,18,17,13,0,97,6,0.75,0.73,2.47,0.29,8,51
d93d8,2019-06-09,06-12,9,17,0,18,17,34,21,0,116,6,0.75,0.36,2.48,0.29,18,78
d93d8,2019-06-09,12-18,8,6,0,24,34,37,46,0,155,6,0.75,0.12,2.31,0.3,19,106
d93d8,2019-06-09,18-24,8,7,0,12,27,30,39,0,123,6,0.75,0.16,2.32,0.32,7,82
d93d8,2019-06-10,00-06,5,48,0,6,17,11,9,0,96,6,0.75,1.43,2.09,0.5,5,42
d93d8,2019-06-10,06-12,17,20,4,24,35,29,17,0,146,7,0.88,0.46,2.64,0.24,16,103
d93d8,2019-06-10,12-18,12,20,8,52,47,70,24,0,233,7,0.88,0.23,2.5,0.3,31,157
d93d8,2019-06-10,18-24,5,4,0,36,30,28,32,0,135,6,0.75,0.1,2.28,0.27,24,95
d93d8,2019-06-11,00-06,11,54,0,10,18,13,7,0,113,6,0.75,1.71,2.18,0.48,6,53
d93d8,2019-06-11,06-12,16,29,6,36,56,34,34,0,211,7,0.88,0.36,2.61,0.27,24,152
d93d8,2019-06-11,12-18,12,8,6,38,35,39,38,0,176,7,0.88,0.18,2.53,0.22,11,114
d93d8,2019-06-11,18-24,11,5,0,34,34,37,41,0,162,6,0.75,0.14,2.35,0.25,13,108
d93d8,2019-06-12,00-06,9,39,0,12,18,12,15,0,105,6,0.75,1.07,2.39,0.37,12,61
d93d8,2019-06-12,06-12,13,28,2,18,46,33,30,0,170,7,0.88,0.38,2.54,0.27,18,140
d93d8,2019-06-12,12-18,19,13,6,28,58,40,52,0,216,7,0.88,0.21,2.53,0.27,35,160
d93d8,2019-06-12,18-24,5,6,0,26,37,34,51,0,159,6,0.75,0.09,2.25,0.32,15,102
d93d8,2019-06-13,00-06,12,54,0,19,30,21,20,0,156,6,0.75,0.93,2.41,0.35,11,84
d93d8,2019-06-13,06-12,16,28,4,18,36,28,17,0,147,7,0.88,0.54,2.63,0.24,19,102
d93d8,2019-06-13,12-18,6,10,4,18,31,27,28,0,124,7,0.88,0.19,2.53,0.25,16,90
d93d8,2019-06-13,18-24,12,8,0,36,28,20,37,0,141,6,0.75,0.24,2.41,0.26,13,90
d93d8,2019-06-14,00-06,5,33,0,4,13,9,10,0,74,6,0.75,1.19,2.21,0.45,0,34
d93d8,2019-06-14,06-12,15,31,4,22,30,32,21,0,155,7,0.88,0.55,2.65,0.21,25,113
d93d8,2019-06-14,12-18,20,19,8,28,66,57,52,0,250,7,0.88,0.22,2.55,0.26,39,185
d93d8,2019-06-14,18-24,8,13,4,26,34,30,50,0,165,7,0.88,0.18,2.49,0.3,11,116
d93d8,2019-06-15,00-06,3,19,0,16,15,16,13,0,82,6,0.75,0.5,2.45,0.23,3,46
d93d8,2019-06-15,06-12,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
d93d8,2019-06-15,12-18,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
d93d8,2019-06-15,18-24,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
d93d8,2019-06-17,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
d93d8,2019-06-17,06-12,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
d93d8,2019-06-17,12-18,6,2,2,24,23,36,21,0,114,7,0.88,0.1,2.34,0.32,9,66
d93d8,2019-06-17,18-24,4,7,2,26,27,26,44,0,136,7,0.88,0.11,2.36,0.32,15,94
d93d8,2019-06-18,00-06,7,50,0,4,19,9,10,0,99,6,0.75,1.5,2.06,0.51,4,47
d93d8,2019-06-18,06-12,10,24,4,18,31,25,19,0,131,7,0.88,0.45,2.63,0.24,14,104
d93d8,2019-06-18,12-18,5,16,2,14,22,17,14,0,90,7,0.88,0.4,2.58,0.24,15,71
d93d8,2019-06-18,18-24,8,8,2,12,22,10,41,0,103,7,0.88,0.22,2.38,0.4,13,62
d93d8,2019-06-19,00-06,8,67,0,10,19,18,10,0,132,6,0.75,1.6,2.1,0.51,3,60
d93d8,2019-06-19,06-12,24,48,6,32,52,26,21,0,209,7,0.88,0.73,2.61,0.25,28,152
d93d8,2019-06-19,12-18,9,14,8,20,45,39,36,0,171,7,0.88,0.19,2.55,0.26,25,132
d93d8,2019-06-19,18-24,5,7,6,34,27,25,47,0,151,7,0.88,0.12,2.44,0.31,11,100
d93d8,2019-06-20,00-06,9,48,0,10,33,22,26,0,148,6,0.75,0.7,2.37,0.32,6,92
d93d8,2019-06-20,06-12,18,29,10,10,29,18,15,0,129,7,0.88,0.76,2.69,0.22,15,95
d93d8,2019-06-20,12-18,9,7,2,34,43,28,34,0,157,7,0.88,0.15,2.43,0.27,17,124
d93d8,2019-06-20,18-24,8,6,0,18,38,34,45,0,149,6,0.75,0.12,2.29,0.3,20,108
d93d8,2019-06-21,00-06,10,52,0,4,17,7,2,0,92,6,0.75,2.38,1.86,0.57,4,46
d93d8,2019-06-21,06-12,18,18,8,14,42,28,10,0,138,7,0.88,0.45,2.6,0.3,20,108
d93d8,2019-06-21,12-18,29,24,8,24,65,51,49,0,250,7,0.88,0.32,2.6,0.26,30,195
d93d8,2019-06-21,18-24,4,17,9,6,25,11,36,0,108,7,0.88,0.29,2.48,0.33,10,74
d93d8,2019-06-22,00-06,9,33,0,10,25,20,27,0,124,6,0.75,0.58,2.45,0.27,7,74
d93d8,2019-06-22,06-12,10,27,0,12,25,26,13,0,113,6,0.75,0.58,2.47,0.24,9,79
d93d8,2019-06-22,12-18,11,9,0,28,30,32,26,0,136,6,0.75,0.23,2.45,0.24,9,87
d93d8,2019-06-22,18-24,5,3,0,38,22,22,37,0,127,6,0.75,0.1,2.23,0.3,15,78
d93d8,2019-06-23,00-06,16,33,0,8,36,25,28,0,146,6,0.75,0.55,2.45,0.25,4,103
d93d8,2019-06-23,06-12,18,29,0,24,40,59,17,0,187,6,0.75,0.41,2.44,0.32,24,125
d93d8,2019-06-23,12-18,8,6,0,22,33,38,34,0,141,6,0.75,0.13,2.34,0.27,17,94
d93d8,2019-06-23,18-24,3,3,0,24,25,23,28,0,106,6,0.75,0.08,2.25,0.26,12,71
d93d8,2019-06-24,00-06,6,49,0,8,19,9,11,0,102,6,0.75,1.41,2.14,0.48,9,56
d93d8,2019-06-24,06-12,18,27,4,14,32,11,13,0,119,7,0.88,0.8,2.6,0.27,18,90
d93d8,2019-06-24,12-18,1,12,2,8,25,14,21,0,83,7,0.88,0.22,2.39,0.3,11,56
d93d8,2019-06-24,18-24,6,6,0,34,30,25,45,0,146,6,0.75,0.12,2.3,0.31,19,96
d93d8,2019-06-25,00-06,7,44,0,12,29,17,21,0,130,6,0.75,0.76,2.36,0.34,6,76
d93d8,2019-06-25,06-12,11,28,7,24,40,23,24,0,157,7,0.88,0.45,2.65,0.25,14,114
d93d8,2019-06-25,12-18,7,18,0,36,41,38,28,0,168,6,0.75,0.23,2.42,0.24,28,124
d93d8,2019-06-25,18-24,5,4,0,18,24,27,46,0,124,6,0.75,0.09,2.22,0.37,13,78
d93d8,2019-06-26,00-06,8,46,0,18,15,14,9,0,110,6,0.75,1.42,2.29,0.42,7,59
d93d8,2019-06-26,06-12,13,23,0,28,31,23,28,0,146,6,0.75,0.44,2.54,0.21,11,94
d93d8,2019-06-26,12-18,6,8,0,28,34,41,29,0,146,6,0.75,0.13,2.34,0.28,18,107
d93d8,2019-06-26,18-24,4,12,0,26,29,22,48,0,141,6,0.75,0.16,2.31,0.34,12,83
d93d8,2019-06-27,00-06,9,39,0,8,26,13,19,0,114,6,0.75,0.83,2.36,0.34,8,75
d93d8,2019-06-27,06-12,15,32,7,6,32,14,10,0,116,7,0.88,0.84,2.55,0.28,20,87
d93d8,2019-06-27,12-18,10,16,2,28,28,18,24,0,126,7,0.88,0.37,2.58,0.22,21,101
d93d8,2019-06-27,18-24,4,7,2,22,22,19,35,0,111,7,0.88,0.14,2.42,0.32,11,77
d93d8,2019-06-28,00-06,10,42,0,10,25,11,11,0,109,6,0.75,1.11,2.32,0.39,4,63
d93d8,2019-06-28,06-12,16,27,10,22,32,26,12,0,145,7,0.88,0.61,2.7,0.22,7,95
d93d8,2019-06-28,12-18,9,9,2,72,46,54,27,0,219,7,0.88,0.14,2.31,0.33,36,164
d93d8,2019-06-28,18-24,8,8,0,32,38,33,52,0,171,6,0.75,0.13,2.33,0.3,10,118
d93d8,2019-06-29,00-06,8,50,0,16,19,16,13,0,122,6,0.75,1.21,2.32,0.41,14,68
d93d8,2019-06-29,06-12,10,13,0,20,36,23,20,0,122,6,0.75,0.29,2.47,0.3,19,92
d93d8,2019-06-29,12-18,13,5,0,36,41,41,36,0,172,6,0.75,0.15,2.36,0.24,35,131
d93d8,2019-06-29,18-24,5,7,0,36,24,32,31,0,135,6,0.75,0.14,2.33,0.27,12,85
d93d8,2019-06-30,00-06,8,49,0,14,22,19,20,0,132,6,0.75,0.93,2.36,0.37,13,74
d93d8,2019-06-30,06-12,23,44,0,26,77,55,30,0,255,6,0.75,0.41,2.45,0.3,49,193
d93d8,2019-06-30,12-18,2,6,4,10,10,13,10,0,55,7,0.88,0.24,2.63,0.24,7,44
d93d8,2019-06-30,18-24,11,10,0,10,27,19,39,0,116,6,0.75,0.25,2.38,0.34,11,83
